"n","setup","sim_model","fit_model","MSE","Bias","Coverage","ISE","ITV","TV_marg"
100,0,"simulate","fit",0.0790014357215159,-0.00205464788736417,0.9,0.42790483004556,0.407057876158635,0.337904522906737
100,0,"simulate","fit",0.321349225642342,-0.331843656353002,0.88,1.00160563939707,0.504444995316815,0.44138543993053
100,0,"simulate","fit",0.0594049799076022,0.0544836686100031,0.88,0.225918186997451,0.302298506943052,0.239925738556302
100,0,"simulate","fit",0.0282705500122715,0.00827745665817397,0.97,0.166435874140785,0.290540133522967,0.247761120886611
